number,title,category,filename,hero_image_600w,social_image_1000w
1,German Christmas Markets: Christkindlmarkt Guide,European Traditions & Historic Markets,german-christmas-markets-christkindlmarkt.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-market-with-lights.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-market-with-lights.jpg
2,"Saint Lucia Day in Sweden: Light, Song and Saffron",European Traditions & Historic Markets,saint-lucia-day-sweden.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-lights-on-city-streets.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-lights-on-city-streets.jpg
3,Krampus Night: Alpine Christmas Folklore Explained,European Traditions & Historic Markets,krampus-alpine-christmas-folklore.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/snowy-village-christmas-scene.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/snowy-village-christmas-scene.jpg
4,UK Christmas Pantomime and Crackers Explained,European Traditions & Historic Markets,uk-pantomime-christmas-crackers.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-parade-float.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-parade-float.jpg
5,Wigilia: Polish Christmas Eve Feast and Traditions,European Traditions & Historic Markets,wigilia-christmas-eve-feast.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-dinner-table-setting.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-dinner-table-setting.jpg
6,Rockefeller Center Christmas Tree: History and Design,American Holiday Culture & Modern Icons,rockefeller-center-christmas-tree.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-tree-decorated-with-lights.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-tree-decorated-with-lights.jpg
7,American Suburban Christmas Light Displays,American Holiday Culture & Modern Icons,suburban-christmas-light-displays.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-lights-on-suburban-house.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-lights-on-suburban-house.jpg
8,"Nochebuena in the U.S.: Family, Food and Christmas Eve",American Holiday Culture & Modern Icons,nochebuena-us-hispanic-traditions.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/christmas-eve-church-mass.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/christmas-eve-church-mass.jpg
9,How Mall Santa Became an American Christmas Tradition,American Holiday Culture & Modern Icons,history-of-mall-santa.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/santa-claus-with-children.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/santa-claus-with-children.jpg
10,Christmas Train Rides: The Polar Express Experience,American Holiday Culture & Modern Icons,polar-express-holiday-train-rides.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/toy-train-under-christmas-tree.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/toy-train-under-christmas-tree.jpg
11,Father Christmas vs. Santa Claus: How the Icons Merged,Transatlantic Comparisons & Historical Roots,father-christmas-vs-santa-claus.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/santa-reading-letters.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/santa-reading-letters.jpg
12,Christmas Eve vs. Christmas Morning Gift Traditions,Transatlantic Comparisons & Historical Roots,christmas-eve-vs-christmas-morning-gifts.html,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/600w/family-opening-christmas-presents.jpg,https://storage.googleapis.com/imagesg/cms-festival/christmas/imagesd/1000w/family-opening-christmas-presents.jpg
