id,category,title,filename
1,History & Significance,The Mythology Behind Gudi Padwa,mythology-behind-gudi-padwa.html
2,History & Significance,The Astronomical Significance of Gudi Padwa,astronomical-significance-lunisolar-calendar.html
3,History & Significance,"Gudi Padwa, Ugadi and Cheti Chand",gudi-padwa-ugadi-cheti-chand.html
4,History & Significance,The Maratha Legacy of Gudi Padwa,maratha-legacy-shivaji-gudi-padwa.html
5,History & Significance,The Spiritual Symbolism of the Gudi,spiritual-science-symbolism-of-gudi.html
6,Rituals & Traditions,How to Prepare and Hoist a Gudi at Home,how-to-hoist-gudi-at-home.html
7,Rituals & Traditions,Neem and Jaggery on Gudi Padwa,neem-jaggery-tradition-gudi-padwa.html
8,Rituals & Traditions,Chaitra Navratri and Gudi Padwa,chaitra-navratri-and-gudi-padwa.html
9,Rituals & Traditions,Gudi Padwa for the Next Generation,gudi-padwa-for-children-next-generation.html
10,Rituals & Traditions,The Role of Panchang Shravan on Gudi Padwa,panchang-shravan-gudi-padwa.html
11,Food & Recipes,The Ultimate Gudi Padwa Feast,traditional-gudi-padwa-feast.html
12,Food & Recipes,Mastering Puran Poli for Gudi Padwa,puran-poli-recipe-tips.html
13,Food & Recipes,Beyond Shrikhand: Maharashtrian Festive Delicacies,lesser-known-maharashtrian-delicacies.html
14,Food & Recipes,Homemade Gudi Padwa Gifts for Friends and Neighbors,gudi-padwa-homemade-gifts.html
15,Fashion & Home Decor,Beginner’s Guide to Draping the Nauvari Saree,nauvari-saree-beginners-guide.html
16,Fashion & Home Decor,Men’s Gudi Padwa Fashion: Kurta and Pheta,mens-gudi-padwa-fashion-pheta-kurta.html
17,Fashion & Home Decor,10 Rangoli Ideas for Gudi Padwa,gudi-padwa-rangoli-designs.html
18,Fashion & Home Decor,How to Make a Mango Leaf and Marigold Toran,mango-leaf-marigold-toran.html
19,Modern Life & Lifestyle,Eco-Friendly Gudi Padwa: A Low-Waste Celebration,eco-friendly-gudi-padwa.html
20,Modern Life & Lifestyle,Celebrating Gudi Padwa in the Global Diaspora,gudi-padwa-maharashtrian-diaspora.html
