number,category,title,filename,css_file
1,Cultural & Mythological Origins,The Dual Mythology of Dussehra: Rama and Durga,dual-mythology-rama-durga-dussehra.html,css/dual-mythology-rama-durga-dussehra.css
2,Cultural & Mythological Origins,The Symbolism of Ravana’s Ten Heads,ravana-ten-heads-symbolism.html,css/ravana-ten-heads-symbolism.css
3,Cultural & Mythological Origins,Shastra Puja on Vijayadashami: Meaning and Practice,shastra-puja-history-significance.html,css/shastra-puja-history-significance.css
4,Cultural & Mythological Origins,"The Mahabharata, the Shami Tree and Vijayadashami",mahabharata-shami-tree-vijayadashami.html,css/mahabharata-shami-tree-vijayadashami.css
5,Cultural & Mythological Origins,Why Apta Leaves Are Exchanged as “Gold” on Dussehra,apta-leaves-gold-dussehra.html,css/apta-leaves-gold-dussehra.css
6,Regional Traditions & Travel Guides,"Kullu Dussehra: Deities, Processions and a Week of Celebration",kullu-dussehra-travel-guide.html,css/kullu-dussehra-travel-guide.css
7,Regional Traditions & Travel Guides,"Mysuru Dasara: Royal Heritage, Palace Lights and Jumboo Savari",mysuru-dasara-royal-heritage.html,css/mysuru-dasara-royal-heritage.css
8,Regional Traditions & Travel Guides,Bastar Dussehra: The 75-Day Festival of Goddess Danteshwari,bastar-dussehra-danteshwari.html,css/bastar-dussehra-danteshwari.css
9,Regional Traditions & Travel Guides,Ramlila of Varanasi: Open-Air Theatre and Living Tradition,ramlila-varanasi-tradition.html,css/ramlila-varanasi-tradition.css
10,Regional Traditions & Travel Guides,"Vijayadashami in Bengal: Sindoor Khela, Bijoya and Immersion",vijayadashami-bengal-sindoor-khela.html,css/vijayadashami-bengal-sindoor-khela.css
11,Modern Relevance & Life Lessons,Conquering the Ravana Within: A Dussehra Self-Reflection Guide,conquering-internal-ravanas.html,css/conquering-internal-ravanas.css
12,Modern Relevance & Life Lessons,Vidyarambham on Vijayadashami: Beginning Education and the Arts,vidyarambham-vijayadashami-education.html,css/vidyarambham-vijayadashami-education.css
13,Modern Relevance & Life Lessons,Eco-Friendly Dussehra: Ravan Dahan and Low-Waste Ideas,eco-friendly-dussehra-celebrations.html,css/eco-friendly-dussehra-celebrations.css
14,Modern Relevance & Life Lessons,Leadership Lessons from the Ramayana for Modern Teams,leadership-lessons-ramayana.html,css/leadership-lessons-ramayana.css
15,Modern Relevance & Life Lessons,Dussehra and the Universal Theme of Good vs. Evil,universal-good-vs-evil-dussehra.html,css/universal-good-vs-evil-dussehra.css
16,"Lifestyle, Business & Food",Traditional Dussehra Feasts Across India,traditional-dussehra-festive-feasts.html,css/traditional-dussehra-festive-feasts.css
17,"Lifestyle, Business & Food",Dussehra Marketing Strategies: New Beginnings Without Clichés,festive-marketing-strategies-dussehra.html,css/festive-marketing-strategies-dussehra.css
18,"Lifestyle, Business & Food","Dussehra Home Decor: Rangoli, Torans and Sacred Spaces",dussehra-home-decor-rangoli-toran.html,css/dussehra-home-decor-rangoli-toran.css
19,"Lifestyle, Business & Food","Why People Buy Gold, Vehicles and Homes on Dussehra",economics-auspicious-buying-dussehra.html,css/economics-auspicious-buying-dussehra.css
20,"Lifestyle, Business & Food","Dussehra for Kids: Stories, Crafts and Moral Lessons",dussehra-for-kids-stories-crafts.html,css/dussehra-for-kids-stories-crafts.css
