number,cluster,title,filename,representative_image
1,history,"Thanksgiving 1621: Myths, Reality and Wampanoag Perspectives",myths-vs-reality-1621-thanksgiving.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/fall-harvest-produce-on-wooden-table.jpg
2,history,The Evolution of the Macy’s Thanksgiving Day Parade,macys-thanksgiving-day-parade-history.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/thanksgiving-parade-balloons.jpg
3,history,Why Football Became a Thanksgiving Tradition,thanksgiving-football-history.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/football-game-on-tv-during-thanksgiving.jpg
4,history,"The Presidential Turkey Pardon: History, Myth and Media Ritual",presidential-turkey-pardon-history.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/happy-thanksgiving-card-with-turkey-art.jpg
5,history,National Day of Mourning: Indigenous Perspectives on Thanksgiving,national-day-of-mourning-thanksgiving.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/autumn-leaves-table-decor.jpg
6,food,The Ultimate Thanksgiving Turkey Prep Guide,ultimate-thanksgiving-turkey-prep-guide.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/roast-turkey-centerpiece-on-table.jpg
7,food,Upgrading Classic Thanksgiving Sides Without Losing Tradition,thanksgiving-classic-sides-upgrades.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/serving-mashed-potatoes-and-gravy.jpg
8,food,A Complete Plant-Based Thanksgiving Feast,plant-based-thanksgiving-feast.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/roasted-vegetables-with-herbs.jpg
9,food,Thanksgiving Wine Pairings: A Flexible Guide,thanksgiving-wine-pairing-guide.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/thanksgiving-wine-and-toast.jpg
10,food,Thanksgiving Leftovers: Gourmet Transformations,thanksgiving-leftover-recipes.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/thanksgiving-leftovers-packed-in-containers.jpg
11,hosting,A Stress-Free Thanksgiving Prep Timeline,stress-free-thanksgiving-prep-timeline.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/children-helping-set-the-table.jpg
12,hosting,Budget-Friendly Thanksgiving Dinner Planning,budget-friendly-thanksgiving-dinner.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/thanksgiving-dinner-served-buffet-style.jpg
13,hosting,The Friendsgiving Hosting Playbook,friendsgiving-hosting-playbook.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/friendsgiving-celebration-with-food.jpg
14,hosting,Autumn Thanksgiving Tablescapes on a Budget,autumn-thanksgiving-tablescapes.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/rustic-thanksgiving-table-setting.jpg
15,hosting,Navigating Awkward Family Dynamics at Thanksgiving,awkward-family-dynamics-thanksgiving.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/siblings-sharing-a-laugh-at-dinner.jpg
16,gratitude,Thanksgiving Gratitude Practices Beyond “What Are You Thankful For?”,thanksgiving-gratitude-practices.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/thanksgiving-gratitude-journal-page.jpg
17,gratitude,Giving Back Locally During Thanksgiving,thanksgiving-giving-back-locally.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/fall-harvest-produce-on-wooden-table.jpg
18,gratitude,Post-Dinner Thanksgiving Activities Beyond TV,post-dinner-family-activities.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/family-photo-on-thanksgiving-day.jpg
19,gratitude,Celebrating Thanksgiving Abroad: An Expat Guide,thanksgiving-abroad-expat-guide.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/outdoor-thanksgiving-picnic.jpg
20,gratitude,Mindful Eating at the Thanksgiving Table,mindful-eating-thanksgiving.html,https://storage.googleapis.com/imagesg/cms-festival/thanksgiving/imagesd/600w/thanksgiving-place-setting-with-name-cards.jpg
