number,cluster,title,filename,image
1,Mythology & Spiritual Roots,"The Legend of Karna and Pitru Paksha: Food, Gold and Ancestral Duty",karna-legend-pitru-paksha.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
2,Mythology & Spiritual Roots,"Understanding Pitru Dosha: Ancestral Debt, Astrology and Fear-Free Perspective",understanding-pitru-dosha.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
3,Mythology & Spiritual Roots,Why 16 Days? The Lunar and Spiritual Logic of Pitru Paksha,why-pitru-paksha-sixteen-days.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
4,Mythology & Spiritual Roots,"Gaya, Kashi and Prayagraj: Sacred Geography of Shraddh and Pinda Daan",gaya-kashi-prayagraj-shraddh.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
5,Mythology & Spiritual Roots,"Garuda Purana Insights: Soul, Rebirth and Ancestral Remembrance",garuda-purana-soul-journey-ancestors.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
6,Rituals & Step-by-Step Guides,The Anatomy of Pinda Daan: Rice Offerings and Their Symbolism,pinda-daan-meaning-components.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
7,Rituals & Step-by-Step Guides,"Tarpan Explained: Water, Black Sesame and the Practice of Remembrance",tarpan-step-by-step-meaning.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
8,Rituals & Step-by-Step Guides,Brahmin Bhoj and Panchbali: Feeding as an Act of Ancestral Remembrance,brahmin-bhoj-panchbali-shraddh.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
9,Rituals & Step-by-Step Guides,Sarvapitri Amavasya: Remembering Forgotten and Unknown Ancestors,sarvapitri-amavasya-guide.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
10,Rituals & Step-by-Step Guides,"A Beginner’s Guide to Shraddh at Home: Simple, Respectful Remembrance",shraddh-at-home-beginners-guide.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
11,"Rules, Myths & Perspectives","Do’s and Don’ts of Pitru Paksha: Tradition, Context and Practical Sense",pitru-paksha-dos-and-donts.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
12,"Rules, Myths & Perspectives","Why Big Celebrations Pause During Pitru Paksha: Culture, Grief and Timing",why-celebrations-paused-pitru-paksha.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
13,"Rules, Myths & Perspectives",Debunking Pitru Paksha Superstitions: Tradition Without Fear,debunking-pitru-paksha-superstitions.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
14,"Rules, Myths & Perspectives","Why Crows Are Sacred During Shraddh: Symbolism, Folklore and Ecology",why-crows-sacred-shraddh.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
15,"Rules, Myths & Perspectives","Can Women Perform Shraddh? Scriptural Views, Family Customs and Change",can-women-perform-shraddh.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
16,Modern Context & Culinary Traditions,"The Psychology of Shraddh: Grief, Memory and Family History",psychology-of-shraddh-grief-family-history.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
17,Modern Context & Culinary Traditions,"Traditional Sattvik Shraddh Feast: Kheer, Poori, Arbi, Pumpkin and More",traditional-sattvik-shraddh-feast.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
18,Modern Context & Culinary Traditions,Digital Tarpan and E-Shraddh: Ancestral Rites in a Global Diaspora,digital-tarpan-e-shraddh-diaspora.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
19,Modern Context & Culinary Traditions,Ancestral Healing and Epigenetics: Where Science Ends and Symbolism Begins,ancestral-healing-epigenetics-shraddh.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-home.png
20,Modern Context & Culinary Traditions,From the Dark Fortnight to Divine Light: Pitru Paksha to Sharad Navratri,pitru-paksha-to-sharad-navratri.html,https://storage.googleapis.com/imagesg/festivals/shradh/1000w/sharadh-outside.png
