number,category,title,filename,css_file
1,Mythology & Sacred Rituals,Mahalaya and the Chandi Path: The Dawn of Durga Puja,mahalaya-chandi-path-birendra-krishna-bhadra.html,css/mahalaya-chandi-path-birendra-krishna-bhadra.css
2,Mythology & Sacred Rituals,Bodhon and Chokhu Dan: Awakening the Goddess,bodhon-chokhu-dan-durga-puja.html,css/bodhon-chokhu-dan-durga-puja.css
3,Mythology & Sacred Rituals,Sandhi Puja Decoded: The 48-Minute Sacred Juncture,sandhi-puja-ashtami-navami.html,css/sandhi-puja-ashtami-navami.css
4,Mythology & Sacred Rituals,Navapatrika and Kola Bou: Nature Inside Durga Puja,navapatrika-kola-bou-symbolism.html,css/navapatrika-kola-bou-symbolism.css
5,Mythology & Sacred Rituals,The Ten Weapons of Goddess Durga: Power with Purpose,ten-weapons-goddess-durga-symbolism.html,css/ten-weapons-goddess-durga-symbolism.css
6,"Art, Architecture & Craftsmanship",The Evolution of Theme Pandals: From Ekchala to Installation Art,evolution-theme-pandals-durga-puja.html,css/evolution-theme-pandals-durga-puja.css
7,"Art, Architecture & Craftsmanship",Kumartuli: Where Durga Idols Take Shape,kumartuli-kolkata-idol-makers.html,css/kumartuli-kolkata-idol-makers.css
8,"Art, Architecture & Craftsmanship",Durga Puja and UNESCO: What Recognition Means Locally,unesco-durga-puja-cultural-heritage.html,css/unesco-durga-puja-cultural-heritage.css
9,"Art, Architecture & Craftsmanship",The Light Artists of Chandannagar and Durga Puja,chandannagar-light-artists-durga-puja.html,css/chandannagar-light-artists-durga-puja.css
10,"Art, Architecture & Craftsmanship",Bonedi Bari Pujas: Durga Puja Inside Ancestral Homes,bonedi-bari-durga-puja-heritage.html,css/bonedi-bari-durga-puja-heritage.css
11,"Culture, Community & Society","Sindoor Khela on Vijayadashami: Farewell, Sisterhood and Emotion",sindoor-khela-vijayadashami.html,css/sindoor-khela-vijayadashami.css
12,"Culture, Community & Society","Dhak, Dhunuchi and the Sensory Magic of Durga Puja",dhak-dhunuchi-sensory-durga-puja.html,css/dhak-dhunuchi-sensory-durga-puja.css
13,"Culture, Community & Society",Global Sharadotsav: Durga Puja Across the Bengali Diaspora,global-sharadotsav-bengali-diaspora.html,css/global-sharadotsav-bengali-diaspora.css
14,"Culture, Community & Society",Inclusivity in Modern Durga Puja Pandals,inclusive-modern-durga-puja-pandals.html,css/inclusive-modern-durga-puja-pandals.css
15,"Culture, Community & Society",The Micro-Economics of Durga Puja,durga-puja-festival-economy.html,css/durga-puja-festival-economy.css
16,"Lifestyle, Food & Travel",The Ultimate Durga Puja Food Guide: Bhog to Street Food,durga-puja-food-guide-bhog-street-food.html,css/durga-puja-food-guide-bhog-street-food.css
17,"Lifestyle, Food & Travel","Sustainable Durga Puja: Clay, Natural Dyes and Cleaner Immersion",eco-friendly-sustainable-durga-puja.html,css/eco-friendly-sustainable-durga-puja.css
18,"Lifestyle, Food & Travel",Durga Puja Fashion: Lal Par Sarees to Pandal-Hopping Fusion,durga-puja-fashion-lal-par-fusion.html,css/durga-puja-fashion-lal-par-fusion.css
19,"Lifestyle, Food & Travel",Durga Puja Pandal Hopping: A Practical Survival Guide,durga-puja-pandal-hopping-survival-guide.html,css/durga-puja-pandal-hopping-survival-guide.css
20,"Lifestyle, Food & Travel",Agamani Songs: The Sound of Durga Coming Home,agamani-songs-durga-puja-nostalgia.html,css/agamani-songs-durga-puja-nostalgia.css
