article_number,category,title,filename,hero_1000w,inline_600w
1,"History, Myths & Folklore",The Samhain Connection: What Really Shaped Halloween?,samhain-connection-halloween-origins.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/bat-silhouettes-flying-in-twilight.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/moonlit-halloween-night-with-fog.jpg
2,"History, Myths & Folklore",The Legend of Stingy Jack and the Original Jack-o’-Lantern,stingy-jack-jack-o-lantern-legend.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/grinning-pumpkin-with-candlelight.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/jack-o-lanterns-glowing-at-night.jpg
3,"History, Myths & Folklore","Witches, Crows and Black Cats: Halloween Superstitions Explained",witches-crows-black-cats-halloween-superstitions.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/black-cat-with-glowing-eyes.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/witch-flying-across-full-moon.jpg
4,"History, Myths & Folklore","Trick-or-Treating Through the Ages: Souling, Guising and Candy Runs",trick-or-treating-history-souling-guising.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/trick-or-treaters-walking-in-neighborhood.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/trick-or-treat-candy-bucket.jpg
5,"History, Myths & Folklore",Spooky Holidays Around the World: Halloween and Other Traditions,spooky-holidays-around-the-world.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/child-holding-lantern-on-halloween-night.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/pumpkin-patch-at-sunset.jpg
6,"Costumes, Decor & DIY",Sustainable Spookiness: An Eco-Friendly Halloween Guide,sustainable-eco-friendly-halloween.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/pumpkin-carving-with-family.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/halloween-wreath-on-door.jpg
7,"Costumes, Decor & DIY",Haunted Porch Ideas: Big Halloween Impact on a Small Budget,haunted-porch-budget-decor-ideas.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/skeleton-decorations-on-porch.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/ghost-decorations-in-yard.jpg
8,"Costumes, Decor & DIY","Halloween SFX Makeup for Beginners: Safe Scars, Shadows and Illusions",halloween-sfx-makeup-beginners.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/zombie-costume-makeup-close-up.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/vampire-child-costume.jpg
9,"Costumes, Decor & DIY",20 Last-Minute Halloween Costume Ideas from Your Own Closet,last-minute-halloween-costumes-closet.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/halloween-mask-collection.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/group-of-children-in-spooky-costumes.jpg
10,"Costumes, Decor & DIY",Safe and Stress-Free Halloween Costumes for Dogs and Cats,safe-stress-free-pet-halloween-costumes.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/pet-in-halloween-costume.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/black-cat-with-glowing-eyes.jpg
11,"Food, Drinks & Party Planning","Sinister Halloween Cocktails and Mocktails: Dramatic Drinks, Safely",halloween-cocktails-mocktails-safe-dry-ice.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/witch-brewing-potion-in-cauldron.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/halloween-themed-dinner-table.jpg
12,"Food, Drinks & Party Planning",Savory Spooky Snacks That Double as Halloween Party Decor,savory-spooky-halloween-snacks.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/halloween-party-with-cobweb-decorations.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/halloween-themed-dinner-table.jpg
13,"Food, Drinks & Party Planning",Halloween Candy and Wine Pairings: A Playful Adult Tasting Guide,halloween-candy-wine-pairing-guide.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/halloween-candy-display.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/decorated-halloween-cookies.jpg
14,"Food, Drinks & Party Planning",Upcycled Leftover Halloween Candy: 10 Dessert and Baking Ideas,leftover-halloween-candy-dessert-hacks.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/decorated-halloween-cookies.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/halloween-themed-cake-with-spider-webs.jpg
15,"Food, Drinks & Party Planning",How to Host an Adult Halloween Murder Mystery Night,adult-halloween-murder-mystery-party.html,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/1000w/group-photo-at-halloween-party.jpg,https://storage.googleapis.com/imagesg/cms-festival/halloween/imagesd/600w/decorated-halloween-photo-booth.jpg
